,Drug_ID,Protein_ID,label
127,DB00564,P24462,1
128,DB00241,Q16445,1
129,DB01151,P08912,1
130,DB02901,P11511,1
131,DB00247,P28566,1
132,DB00152,Q9H3S4,1
133,DB04150,P19021,1
134,DB00985,P35367,1
135,DB07394,P06576,1
136,DB01186,P14416,1
137,DB01151,P31645,1
138,DB01435,P10635,1
139,DB04137,P00367,1
140,DB00714,P18825,1
141,DB00690,P31644,1
142,DB07724,P37231,1
143,DB08464,P08238,1
144,DB07707,P03372,1
145,DB04417,P50225,1
146,DB06706,Q05940,1
147,DB00813,P20815,1
148,DB00544,Q06203,1
149,DB05766,P11229,1
150,DB01268,P35916,1
151,DB00095,P08637,1
152,DB07323,P50579,1
153,DB00248,P34969,1
154,DB02681,P61024,1
155,DB00675,P22310,1
156,DB01068,P78334,1
157,DB04256,Q13255,1
158,DB00667,Q9Y5N1,1
159,DB01992,Q92830,1
160,DB00193,P31645,1
161,DB00501,P15538,1
162,DB04465,Q7Z4J2,1
163,DB00949,Q8TCU5,1
164,DB01225,P05164,1
165,DB01873,Q13509,1
166,DB00906,P30531,1
167,DB01046,P16152,1
168,DB00628,P47870,1
169,DB02373,P49789,1
170,DB00333,P24462,1
171,DB07812,P49841,1
172,DB00568,P11509,1
173,DB00142,P00505,1
174,DB00320,P28221,1
175,DB00281,P11509,1
176,DB01708,P78334,1
177,DB00160,Q9Y697,1
178,DB00897,Q16445,1
179,DB03147,P11310,1
180,DB01790,P10644,1
181,DB01406,P11511,1
182,DB00477,P21918,1
183,DB01194,P22748,1
184,DB04768,Q9H3S4,1
185,DB01118,P10635,1
186,DB01115,P11509,1
187,DB00626,P14735,1
188,DB00224,P24462,1
189,DB00921,P41143,1
190,DB01863,Q9H4M7,1
191,DB01107,P18505,1
192,DB03496,Q00535,1
193,DB01050,P37231,1
194,DB05422,P31645,1
195,DB00210,P10826,1
196,DB00683,Q8N1C3,1
197,DB00005,P35354,1
198,DB04091,P11226,1
199,DB00064,P0DJI8,1
200,DB00978,P11388,1
201,DB04216,P08631,1
202,DB03370,P00813,1
203,DB04970,P08908,1
204,DB02492,Q16706,1
205,DB00562,P22748,1
206,DB04238,P07477,1
207,DB00666,Q96P88,1
208,DB00292,P19099,1
209,DB06016,P41595,1
210,DB03428,P24941,1
211,DB00318,P08684,1
212,DB04137,P84077,1
213,DB05490,P37231,1
214,DB00153,P11473,1
215,DB00904,P05181,1
216,DB00313,P23219,1
217,DB00270,O95180,1
218,DB05091,P30518,1
219,DB01142,Q12809,1
220,DB03449,P35228,1
221,DB01029,P30556,1
222,DB07840,P11362,1
223,DB05188,Q03181,1
224,DB00408,P08588,1
225,DB01115,P05177,1
226,DB04924,P14416,1
227,DB00346,Q12809,1
228,DB01081,P41143,1
229,DB00508,P11229,1
230,DB00540,P35348,1
231,DB06876,O14757,1
232,DB00133,O15269,1
233,DB00555,P35503,1
234,DB00987,P27707,1
235,DB01466,P20813,1
236,DB00363,P08913,1
237,DB04953,P11245,1
238,DB07375,P01834,1
239,DB02353,P13501,1
240,DB00370,P08588,1
241,DB01129,P33261,1
242,DB03616,P68133,1
243,DB03147,P16435,1
244,DB02994,P11488,1
245,DB01171,P21397,1
246,DB04906,P63098,1
247,DB04272,O75390,1
248,DB05187,Q03181,1
249,DB03957,P60568,1
250,DB00321,P41143,1
251,DB00203,P05181,1
252,DB08838,Q00975,1
253,DB04077,O43252,1
254,DB07949,P11217,1
255,DB03814,P06276,1
256,DB04315,P01112,1
257,DB00936,P11712,1
258,DB04852,P55157,1
259,DB01235,P14416,1
260,DB00850,P14416,1
261,DB02611,P17612,1
262,DB00468,P33261,1
263,DB00816,P07550,1
264,DB00268,P28223,1
265,DB00321,P08172,1
266,DB04295,P11217,1
267,DB00790,P12821,1
268,DB01058,P05177,1
269,DB08232,P08709,1
270,DB01236,P42261,1
271,DB00175,P11712,1
272,DB00738,P10632,1
273,DB00501,P08684,1
274,DB00157,Q9P0J0,1
275,DB02872,Q00987,1
276,DB08734,P04818,1
277,DB02090,P08254,1
278,DB05012,P23975,1
279,DB01567,O00591,1
280,DB01007,P11712,1
281,DB01077,Q13332,1
282,DB07119,Q92731,1
283,DB01159,P48549,1
284,DB08217,P06730,1
285,DB00098,P31994,1
286,DB07433,Q9UNI1,1
287,DB07232,Q9UGN5,1
288,DB00129,O43246,1
289,DB04119,P22314,1
290,DB04141,P08574,1
291,DB00414,P48048,1
292,DB07078,O14757,1
293,DB00227,P10632,1
294,DB04254,P07900,1
295,DB08848,P48066,1
296,DB08045,P08238,1
297,DB00081,P02747,1
298,DB04215,P07477,1
299,DB00028,P01031,1
300,DB06738,P33261,1
301,DB08786,P07900,1
302,DB02196,Q16222,1
303,DB01028,P20813,1
304,DB00486,P21554,1
305,DB00054,P08514,1
306,DB00981,P22303,1
307,DB01221,P08912,1
308,DB02845,P22303,1
309,DB00109,P33261,1
310,DB00526,P05177,1
311,DB00934,P05177,1
312,DB03708,O43252,1
313,DB01267,P18089,1
314,DB06228,P00742,1
315,DB00659,P48169,1
316,DB04821,P23975,1
317,DB00028,O75015,1
318,DB05381,P25021,1
319,DB04954,P30542,1
320,DB07544,P54687,1
321,DB04593,P08709,1
322,DB01589,A8MPY1,1
323,DB01079,P41595,1
324,DB00132,Q9GZR5,1
325,DB00121,P05165,1
326,DB00707,P01130,1
327,DB04716,O43293,1
328,DB00162,O95237,1
329,DB00025,P00734,1
330,DB00448,Q02928,1
331,DB00907,Q14524,1
332,DB00707,P12314,1
333,DB00298,P35348,1
334,DB00247,P08908,1
335,DB07766,Q00536,1
336,DB01254,P29317,1
337,DB00997,P08684,1
338,DB01870,P19961,1
339,DB00157,P40926,1
340,DB00302,P00747,1
341,DB01182,P10635,1
342,DB01224,P33261,1
343,DB00114,Q8TD30,1
344,DB01174,Q13224,1
345,DB00230,O00555,1
346,DB08879,Q9Y275,1
347,DB00312,P31644,1
348,DB04617,P22303,1
349,DB00030,Q16270,1
350,DB01079,P11712,1
351,DB00142,P80404,1
352,DB02884,P08048,1
353,DB00836,P01189,1
354,DB06204,P10635,1
355,DB07852,P20248,1
356,DB00142,Q9ULA0,1
357,DB08001,P18031,1
358,DB03429,P12235,1
359,DB01242,P09211,1
360,DB00726,P35368,1
361,DB01090,P30926,1
362,DB00656,P35367,1
363,DB04832,P21397,1
364,DB01239,P08172,1
365,DB06216,P22310,1
366,DB00996,Q12879,1
367,DB00176,P10635,1
368,DB03848,P55055,1
369,DB00171,P08183,1
370,DB00940,P11229,1
371,DB03483,P18031,1
372,DB00958,P04731,1
373,DB04855,O00305,1
374,DB08923,P19235,1
375,DB04114,P22303,1
376,DB07272,Q9UQF2,1
377,DB00387,P20309,1
378,DB03847,P00742,1
379,DB03841,P47989,1
380,DB00899,P35372,1
381,DB08128,P11086,1
382,DB08358,P49137,1
383,DB01437,P34903,1
384,DB02893,P50579,1
385,DB00095,P00736,1
386,DB08733,Q9UKQ2,1
387,DB07342,P09601,1
388,DB05042,P50406,1
389,DB08329,P00918,1
390,DB00363,P28566,1
391,DB01535,P35372,1
392,DB01151,P33260,1
393,DB04846,P07550,1
394,DB04513,P62158,1
395,DB04306,Q86XF0,1
396,DB01023,O95180,1
397,DB00623,P14416,1
398,DB03374,P17612,1
399,DB00139,O75936,1
400,DB00738,P05177,1
401,DB00587,Q9Y271,1
402,DB05022,P11388,1
403,DB03890,Q9UNI1,1
404,DB05295,P11473,1
405,DB01483,Q13002,1
406,DB00374,P43119,1
407,DB05192,P10828,1
408,DB00157,P07195,1
409,DB01403,P10635,1
410,DB09048,P25103,1
411,DB00912,P10632,1
412,DB00695,P00918,1
413,DB04185,P50440,1
414,DB00703,P43166,1
415,DB00550,P07202,1
416,DB07772,P22894,1
417,DB01175,P11229,1
418,DB01621,P05177,1
419,DB00569,P00742,1
420,DB05207,P14778,1
421,DB01068,P08684,1
422,DB01103,P50135,1
423,DB07637,P19235,1
424,DB04350,Q13231,1
425,DB00121,P11498,1
426,DB07161,O60674,1
427,DB01248,P10636,1
428,DB06791,P30874,1
429,DB00228,Q16445,1
430,DB01273,P36544,1
431,DB01224,P21917,1
432,DB01174,P33260,1
433,DB02459,P00751,1
434,DB00763,P11712,1
435,DB07374,P62913,1
436,DB00231,Q99928,1
437,DB00698,P16435,1
438,DB04880,Q14432,1
439,DB09076,P11229,1
440,DB04799,P47985,1
441,DB08790,O60760,1
442,DB00690,P08684,1
443,DB02087,P00918,1
444,DB08361,P43405,1
445,DB00286,P21964,1
446,DB04297,Q9BY41,1
447,DB00364,P02671,1
448,DB08897,P06276,1
449,DB00515,P06276,1
450,DB00255,Q92731,1
451,DB00197,Q9HAW7,1
452,DB00123,O43246,1
453,DB00926,P11511,1
454,DB00540,P18825,1
455,DB01234,P11511,1
456,DB00058,P08246,1
457,DB02112,P07477,1
458,DB01234,P05181,1
459,DB07900,P22894,1
460,DB07574,Q9BQE3,1
461,DB06605,P10632,1
462,DB03793,P51151,1
463,DB01953,Q16539,1
464,DB01576,Q96RJ0,1
465,DB00025,O14832,1
466,DB00379,P08684,1
467,DB08194,P07900,1
468,DB07835,Q16539,1
469,DB01223,P05181,1
470,DB03783,P11509,1
471,DB04630,P15538,1
472,DB03955,Q16706,1
473,DB01388,P08684,1
474,DB07126,P24941,1
475,DB05816,P21728,1
476,DB02987,P07998,1
477,DB00013,P00747,1
478,DB00157,P00352,1
479,DB04982,P48058,1
480,DB00435,P33402,1
481,DB00426,Q06278,1
482,DB00100,P08709,1
483,DB00839,P48048,1
484,DB07039,P10275,1
485,DB04315,P15170,1
486,DB01973,P07478,1
487,DB03849,Q08499,1
488,DB00972,P10635,1
489,DB07491,P07477,1
490,DB00622,Q13936,1
491,DB01072,P08684,1
492,DB04942,P10276,1
493,DB01085,P08684,1
494,DB00514,P31645,1
495,DB08200,P06276,1
496,DB00898,P28472,1
497,DB02341,P08246,1
498,DB01472,P35348,1
499,DB07841,P49356,1
500,DB02512,P05062,1
501,DB05475,Q9NR96,1
502,DB00584,P12821,1
503,DB00996,O15399,1
504,DB01327,P27169,1
505,DB00075,P09871,1
506,DB04855,P08684,1
507,DB01173,P35367,1
508,DB05219,P27815,1
509,DB01355,P33261,1
510,DB01946,O15530,1
511,DB01752,Q86VU5,1
512,DB05882,Q92731,1
513,DB04013,P11217,1
514,DB04608,P30291,1
515,DB00972,P11509,1
516,DB07979,P14920,1
517,DB00248,P08684,1
518,DB00334,P34903,1
519,DB00909,Q07699,1
520,DB02557,P08473,1
521,DB08183,P52333,1
522,DB07768,Q04828,1
523,DB00814,P08684,1
524,DB06777,Q96RI1,1
525,DB00467,P05177,1
526,DB00475,Q9UN88,1
527,DB00119,O15403,1
528,DB01151,P05177,1
529,DB00655,P05177,1
530,DB00624,P10632,1
531,DB04838,P23141,1
532,DB04594,P35914,1
533,DB08677,P24941,1
534,DB06207,P08684,1
535,DB07136,P15086,1
536,DB02049,P45452,1
537,DB00136,P11473,1
538,DB04912,P30519,1
539,DB02367,P08254,1
540,DB01954,Q07343,1
541,DB01840,Q9NPH2,1
542,DB01191,P11712,1
543,DB05495,P14780,1
544,DB01166,P05177,1
545,DB05387,P08253,1
546,DB03496,P50750,1
547,DB00170,P05177,1
548,DB00674,Q15825,1
549,DB00228,P48167,1
550,DB00528,Q06432,1
551,DB00082,P33261,1
552,DB00145,O75600,1
553,DB01601,P08684,1
554,DB00586,P16662,1
555,DB01248,O75469,1
556,DB02187,P14061,1
557,DB00909,P22748,1
558,DB00231,O14764,1
559,DB05104,P41145,1
560,DB06897,P53350,1
561,DB06204,P31645,1
562,DB01363,Q05940,1
563,DB04866,P08253,1
564,DB03305,P29474,1
565,DB00933,P28223,1
566,DB01727,P48735,1
567,DB04946,P18825,1
568,DB01149,P23975,1
569,DB00435,P08684,1
570,DB00690,P11509,1
571,DB00998,P05177,1
572,DB00608,P09210,1
573,DB00157,O15239,1
574,DB00114,P80404,1
575,DB00246,P08172,1
576,DB08899,P10635,1
577,DB07186,O14965,1
578,DB07306,P35228,1
579,DB08911,P08684,1
580,DB00522,P05981,1
581,DB04678,P16442,1
582,DB08285,P20248,1
583,DB00472,P10635,1
584,DB07841,P53609,1
585,DB00189,P34903,1
586,DB03127,P07478,1
587,DB01407,P13945,1
588,DB05472,P17181,1
589,DB00988,P10635,1
590,DB08152,P00734,1
591,DB05745,P09960,1
592,DB02730,P19961,1
593,DB00275,P30556,1
594,DB00867,P07550,1
595,DB00108,P02746,1
596,DB00254,P61769,1
597,DB02659,P09669,1
598,DB02689,P05089,1
599,DB01407,P04798,1
600,DB00018,P48551,1
601,DB00210,P10276,1
602,DB06203,P10635,1
603,DB08601,Q15596,1
604,DB00075,P31995,1
605,DB06859,P00734,1
606,DB01205,P48169,1
607,DB00339,P05177,1
608,DB00200,Q9Y4U1,1
609,DB00801,P34903,1
610,DB08818,Q07021,1
611,DB00289,Q13224,1
612,DB07744,P29466,1
613,DB01611,P10635,1
614,DB00402,P30536,1
615,DB04272,P07741,1
616,DB04946,P08684,1
617,DB00108,P05362,1
618,DB08816,Q9H244,1
619,DB09080,P11712,1
620,DB05408,P42574,1
621,DB00295,P41143,1
622,DB00281,P20813,1
623,DB01238,P20309,1
624,DB00659,Q9UN88,1
625,DB00078,P11836,1
626,DB04000,P42262,1
627,DB01205,P18507,1
628,DB00253,P04150,1
629,DB01221,P30939,1
630,DB05049,P46098,1
631,DB00100,P00734,1
632,DB00201,P20815,1
633,DB01014,P37231,1
634,DB00794,P05177,1
635,DB02089,P06737,1
636,DB00158,P14207,1
637,DB00458,P50406,1
638,DB00172,O43447,1
639,DB01174,Q02928,1
640,DB01717,P00568,1
641,DB03719,P14625,1
642,DB09054,P33261,1
643,DB01496,P36544,1
644,DB03292,P78330,1
645,DB07205,P54577,1
646,DB01105,Q01959,1
647,DB01977,P00749,1
648,DB02719,P11217,1
649,DB02866,P00918,1
650,DB04688,P01834,1
651,DB00170,P04798,1
652,DB03417,P07477,1
653,DB00062,P05164,1
654,DB03399,P02144,1
655,DB08575,P08473,1
656,DB00281,P10632,1
657,DB07664,Q9H2G2,1
658,DB01232,P11712,1
659,DB07025,O14757,1
660,DB00624,Q9HB55,1
661,DB08568,P61925,1
662,DB01181,P20813,1
663,DB04770,O00764,1
664,DB00155,P00966,1
665,DB01442,Q05940,1
666,DB08907,O60656,1
667,DB00169,P11473,1
668,DB00030,P16870,1
669,DB01049,P78334,1
670,DB07011,P35228,1
671,DB00013,P00749,1
672,DB08060,P21549,1
673,DB01571,P41145,1
674,DB00159,O14842,1
675,DB00851,P05181,1
676,DB03380,P01303,1
677,DB00327,P41145,1
678,DB07045,Q99933,1
679,DB06267,P20815,1
680,DB08515,P49721,1
681,DB04054,P07900,1
682,DB01186,P28335,1
683,DB00458,P34969,1
684,DB05014,P35968,1
685,DB02696,P15291,1
686,DB00163,P48506,1
687,DB08061,P00734,1
688,DB01174,P11712,1
689,DB00847,P49146,1
690,DB08895,P33261,1
691,DB01238,P08913,1
692,DB04709,P10275,1
693,DB01324,P55017,1
694,DB01097,P11712,1
695,DB07486,P20701,1
696,DB00146,O15528,1
697,DB00966,P33261,1
698,DB04036,P26440,1
699,DB00334,Q16445,1
700,DB00246,P21918,1
701,DB07401,P08574,1
702,DB01021,P00918,1
703,DB00091,P10632,1
704,DB00953,P21397,1
705,DB07606,P24941,1
706,DB01023,P20815,1
707,DB06857,P00749,1
708,DB07642,Q96C86,1
709,DB00062,P02760,1
710,DB07317,P07900,1
711,DB00717,P33261,1
712,DB00725,P08173,1
713,DB07876,Q13464,1
714,DB00898,P40394,1
715,DB00315,P30939,1
716,DB04974,P42345,1
717,DB01365,P07550,1
718,DB07316,P28845,1
719,DB00818,O60656,1
720,DB00145,P50440,1
721,DB06884,P48552,1
722,DB00731,Q09428,1
723,DB08751,P01112,1
724,DB07672,P01857,1
725,DB00921,P08684,1
726,DB00458,P28223,1
727,DB01151,P08173,1
728,DB00762,P22309,1
729,DB00273,P48169,1
730,DB04098,P17612,1
731,DB01108,P14060,1
732,DB06287,P08684,1
733,DB04187,P09488,1
734,DB08655,Q92793,1
735,DB07252,P54760,1
736,DB08914,P06213,1
737,DB04016,P23946,1
738,DB07929,Q13133,1
739,DB00418,P36544,1
740,DB00312,Q8N1C3,1
741,DB07321,P09467,1
742,DB00119,Q9BYV1,1
743,DB00512,P02768,1
744,DB00809,P20309,1
745,DB01114,P10635,1
746,DB00912,P08684,1
747,DB08373,P11684,1
748,DB00755,P33260,1
749,DB00432,P04183,1
750,DB01889,Q14994,1
751,DB01244,P05023,1
752,DB00624,P08684,1
753,DB02932,P10275,1
754,DB00852,P18846,1
755,DB00244,P05164,1
756,DB00692,P08913,1
757,DB01966,P07602,1
758,DB00777,P35348,1
759,DB03176,P10828,1
760,DB01205,Q9UN88,1
761,DB00312,O14764,1
762,DB00399,O95749,1
763,DB00344,P10635,1
764,DB02068,P50440,1
765,DB00583,Q8N8R3,1
766,DB02873,Q16539,1
767,DB00726,P08173,1
768,DB00668,P08684,1
769,DB00072,P09871,1
770,DB05483,P08048,1
771,DB00562,P55017,1
772,DB02930,P54278,1
773,DB00115,Q96EY8,1
774,DB06148,P41145,1
775,DB03041,O94766,1
776,DB06626,P05177,1
777,DB04903,P47869,1
778,DB02073,P09601,1
779,DB05764,P10415,1
780,DB00379,P10635,1
781,DB00228,P14867,1
782,DB06701,Q01959,1
783,DB01948,Q16539,1
784,DB06213,P29274,1
785,DB03951,P46926,1
786,DB03541,P16083,1
787,DB01175,P31645,1
788,DB01032,Q4U2R8,1
789,DB03904,P35222,1
790,DB07470,Q7Z406,1
791,DB00540,P08172,1
792,DB04983,P41231,1
793,DB07746,P50579,1
794,DB08687,Q9GZT9,1
795,DB00636,P05181,1
796,DB00114,Q8N5Z0,1
797,DB06959,P61925,1
798,DB01050,P06133,1
799,DB07958,Q9NZK7,1
800,DB01059,P11388,1
801,DB00273,P18505,1
802,DB00987,P21589,1
803,DB01193,P07550,1
804,DB01902,Q86YB8,1
805,DB07026,P39900,1
806,DB00546,A8MPY1,1
807,DB00157,O43677,1
808,DB00786,P39900,1
809,DB00753,P98194,1
810,DB00379,P05177,1
811,DB01248,P24462,1
812,DB08202,P00918,1
813,DB00071,P01906,1
814,DB07895,P49356,1
815,DB00203,Q13956,1
816,DB00316,P04798,1
817,DB00197,P11712,1
818,DB04844,P10635,1
819,DB00431,P23415,1
820,DB03373,P07477,1
821,DB05014,P09619,1
822,DB06848,Q15661,1
823,DB04147,P23528,1
824,DB00114,Q16719,1
825,DB00468,O15554,1
826,DB02326,P22894,1
827,DB00477,P05181,1
828,DB03940,P00338,1
829,DB06987,P02788,1
830,DB00726,P33261,1
831,DB02637,P35270,1
832,DB01242,P28335,1
833,DB01622,P35368,1
834,DB00780,P24298,1
835,DB01567,P28472,1
836,DB05501,P51681,1
837,DB02508,P14324,1
838,DB06728,P05181,1
839,DB00351,P06401,1
840,DB02379,P11217,1
841,DB00540,P18089,1
842,DB00721,P27338,1
843,DB01156,P08684,1
844,DB04948,P08913,1
845,DB00527,P62158,1
846,DB04315,P10114,1
847,DB00918,P10632,1
848,DB04648,P05089,1
849,DB00313,Q99250,1
850,DB01169,P05412,1
851,DB06882,P12931,1
852,DB04269,P07477,1
853,DB06697,P33261,1
854,DB06888,P24941,1
855,DB07374,P62750,1
856,DB01007,P11511,1
857,DB00363,P34969,1
858,DB00586,P35499,1
859,DB04125,P07477,1
860,DB00277,P29274,1
861,DB00704,P41145,1
862,DB00543,P34969,1
863,DB00208,P20813,1
864,DB01223,P08684,1
865,DB00031,P27824,1
866,DB05239,P24462,1
867,DB02473,P00749,1
868,DB03707,P29474,1
869,DB00589,P21728,1
870,DB00898,Q9UN88,1
871,DB01136,P08913,1
872,DB00334,P48169,1
873,DB01036,P08684,1
874,DB00926,P19793,1
875,DB00157,O43674,1
876,DB00945,P25963,1
877,DB08804,P21397,1
878,DB08756,P17612,1
879,DB08229,P42574,1
880,DB01260,P04150,1
881,DB00852,P60568,1
882,DB01033,Q06278,1
883,DB03685,Q7Z4J2,1
884,DB01049,P21728,1
885,DB00201,Q07343,1
886,DB08231,P63098,1
887,DB01435,P33260,1
888,DB02098,P07998,1
889,DB04879,P17948,1
890,DB00396,P06401,1
891,DB01595,O14764,1
892,DB02140,P09668,1
893,DB00945,Q9UGI9,1
894,DB01380,P08684,1
895,DB00738,P10635,1
896,DB01433,P35372,1
897,DB01544,P34903,1
898,DB09102,P20815,1
899,DB03476,P00749,1
900,DB01186,P28222,1
901,DB06080,P17948,1
902,DB00304,P06401,1
903,DB02325,Q9BV57,1
904,DB06216,P28335,1
905,DB00238,P20815,1
906,DB01200,P41595,1
907,DB00633,P04798,1
908,DB01595,P34903,1
909,DB00232,P22748,1
910,DB00114,Q96A70,1
911,DB00446,P08174,1
912,DB06626,P20815,1
913,DB00669,P28221,1
914,DB03461,P11586,1
915,DB01115,O95180,1
916,DB06148,P05177,1
917,DB01520,Q13224,1
918,DB01820,P18031,1
919,DB08063,Q13133,1
920,DB04961,P27707,1
921,DB08805,P25021,1
922,DB01267,P28335,1
923,DB06144,P28223,1
924,DB04447,P60174,1
925,DB01588,P34903,1
926,DB03788,P10828,1
927,DB01589,P08684,1
928,DB01049,Q70Z44,1
929,DB01097,P35869,1
930,DB00997,O75828,1
931,DB02271,O60551,1
932,DB05386,P06276,1
933,DB00343,P11712,1
934,DB04601,P00918,1
935,DB01149,P08908,1
936,DB01406,P30968,1
937,DB00443,P11511,1
938,DB00020,P32927,1
939,DB00334,O00591,1
940,DB01873,P07437,1
941,DB00515,P02795,1
942,DB00268,P21918,1
943,DB00897,Q9UN88,1
944,DB00434,P35367,1
945,DB02942,Q15075,1
946,DB01873,P68366,1
947,DB00778,P08684,1
948,DB00917,P11511,1
949,DB02404,P22303,1
950,DB00408,Q9H3N8,1
951,DB07629,P00742,1
952,DB07333,P35968,1
953,DB08846,P35218,1
954,DB01559,P28476,1
955,DB03144,P29475,1
956,DB03892,P29475,1
957,DB07632,P00918,1
958,DB00715,P31645,1
959,DB01346,O00180,1
960,DB00412,P05177,1
961,DB06738,P08684,1
962,DB00036,P08709,1
963,DB00139,Q02809,1
964,DB00358,P10635,1
965,DB02073,P02144,1
966,DB01972,P36959,1
967,DB05767,P01584,1
968,DB04960,P49356,1
969,DB01227,P32297,1
970,DB00145,Q14330,1
971,DB08024,P27487,1
972,DB01224,P46098,1
973,DB05457,P04818,1
974,DB00162,O43174,1
975,DB00030,P06400,1
976,DB08149,P61925,1
977,DB00201,Q14432,1
978,DB02196,P16442,1
979,DB01054,P24462,1
980,DB00925,P62158,1
981,DB07513,P27338,1
982,DB01136,P17302,1
983,DB01100,P35462,1
984,DB00458,P35348,1
985,DB01860,P51003,1
986,DB08073,P31751,1
987,DB01424,P33261,1
988,DB00151,P35520,1
989,DB04311,P07477,1
990,DB08270,P43235,1
991,DB04014,Q00535,1
992,DB03782,P00749,1
993,DB00934,P08173,1
994,DB02603,P24941,1
995,DB05294,P15692,1
996,DB04929,P20292,1
997,DB00421,P31213,1
998,DB03667,P23219,1
999,DB08515,P60900,1
1000,DB01065,P49286,1
1001,DB06155,P08684,1
1002,DB00104,P30872,1
1003,DB05149,O14757,1
1004,DB00441,P04818,1
1005,DB00700,P08684,1
1006,DB00589,P21917,1
1007,DB00889,P46098,1
1008,DB01043,Q8TCU5,1
1009,DB00678,P11712,1
1010,DB01727,Q99798,1
1011,DB01115,P05181,1
1012,DB09559,P00533,1
1013,DB00418,P10632,1
1014,DB03832,Q9UKG9,1
1015,DB08382,P27487,1
1016,DB07087,Q15596,1
1017,DB01559,P31644,1
1018,DB00168,Q8TE23,1
1019,DB01242,P05177,1
1020,DB07778,P07919,1
1021,DB04335,P00491,1
1022,DB01588,P18507,1
1023,DB01106,O95665,1
1024,DB00312,P14867,1
1025,DB00087,P31358,1
1026,DB00159,Q03181,1
1027,DB00644,P30968,1
1028,DB01426,P10635,1
1029,DB00241,O00591,1
1030,DB00114,O95954,1
1031,DB00374,P11712,1
1032,DB07738,P56817,1
1033,DB00173,Q9BY49,1
1034,DB01769,P53674,1
1035,DB01171,P05177,1
1036,DB06637,P05181,1
1037,DB01213,P00325,1
1038,DB01151,P05181,1
1039,DB00339,P47989,1
1040,DB01262,P27707,1
1041,DB09217,P35354,1
1042,DB04957,P04798,1
1043,DB00172,P32322,1
