,Gene_ID,Disease_ID,label
127,54806,C0025363,1
128,785,C0427190,1
129,55654,C0031511,1
130,5368,C1330966,1
131,80308,C4310822,1
132,4643,C0086432,1
133,2296,C0086543,1
134,847,C0001973,1
135,4129,C0005586,1
136,7124,C0041696,1
137,10265,C0152227,1
138,3689,C1527304,1
139,2558,C4048158,1
140,5075,C2931416,1
141,1201,C0543888,1
142,7124,C1262760,1
143,64132,C3279392,1
144,5443,C0237326,1
145,10256,C0917816,1
146,967,C0086404,1
147,135,C0234371,1
148,442038,C4277682,1
149,256714,C0006142,1
150,120892,C0030567,1
151,401207,C0029231,1
152,4217,C1262760,1
153,4036,C1691779,1
154,2705,C0282313,1
155,5309,C1864567,1
156,339327,C0006142,1
157,693200,C2239176,1
158,2920,C0311375,1
159,6850,C0334634,1
160,4907,C1859372,1
161,57534,C0751494,1
162,79633,C4014939,1
163,594857,C0001973,1
164,1813,C0021776,1
165,6285,C0011581,1
166,8443,C0036341,1
167,3611,C0345967,1
168,5340,C0041755,1
169,1188,C0004775,1
170,4683,C0006826,1
171,57096,C0035334,1
172,5886,C1708349,1
173,1545,C0271650,1
174,7084,C4310734,1
175,5443,C4317109,1
176,64756,C0342779,1
177,4923,C1510586,1
178,4607,C0878544,1
179,5241,C1384406,1
180,10320,C0242380,1
181,57096,C0271382,1
182,999,C1112155,1
183,2182,C0376358,1
184,406962,C0018781,1
185,388015,C1842466,1
186,7078,C1850938,1
187,7166,C0525045,1
188,4129,C0014175,1
189,3484,C0023892,1
190,462,C0936261,1
191,5800,C3280100,1
192,4598,C0015967,1
193,26191,C3277701,1
194,2071,C0274862,1
195,9420,C0023895,1
196,7044,C3178805,1
197,335,C0860207,1
198,1778,C0020796,1
199,3458,C0009319,1
200,5858,C0019193,1
201,3162,C0023903,1
202,3627,C1262760,1
203,3953,C0034012,1
204,4988,C0422850,1
205,3949,C0015695,1
206,9506,C0027626,1
207,53632,C0007001,1
208,8626,C0007137,1
209,83876,C0023893,1
210,8842,C0271093,1
211,8289,C0265338,1
212,6209,C1708349,1
213,56975,C0002452,1
214,220929,C0006142,1
215,6231,C2750080,1
216,6103,C1845667,1
217,1814,C0020429,1
218,1285,C0403440,1
219,1408,C0011570,1
220,3717,C0006663,1
221,7249,C0027746,1
222,1029,C1297882,1
223,201163,C1266044,1
224,5162,C0751597,1
225,2936,C0393554,1
226,727,C0031154,1
227,7296,C0205648,1
228,3992,C1708349,1
229,1387,C0005684,1
230,7124,C0003872,1
231,255738,C0342881,1
232,1301,C0013366,1
233,675,C2675521,1
234,7298,C0079758,1
235,6663,C0036875,1
236,4826,C0007131,1
237,6647,C0035126,1
238,100847054,C4277682,1
239,5327,C0750917,1
240,943,C0152267,1
241,2071,C0007137,1
242,9874,C0027643,1
243,27241,C1833340,1
244,724030,C0860207,1
245,9474,C0860207,1
246,8468,C3714756,1
247,7490,C0027809,1
248,9152,C0543888,1
249,342371,C0752120,1
250,5478,C0007131,1
251,7432,C0015923,1
252,574451,C3501843,1
253,5663,C0011581,1
254,3456,C0234535,1
255,58508,C0345905,1
256,2348,C0027794,1
257,60561,C1140680,1
258,23462,C0280785,1
259,5243,C0205699,1
260,623,C0234238,1
261,4194,C1261473,1
262,2205,C0013182,1
263,23410,C0007137,1
264,43,C0494475,1
265,3091,C0020507,1
266,1582,C3658290,1
267,203547,C2931230,1
268,9456,C0236736,1
269,843,C0025202,1
270,2074,C0679465,1
271,4843,C3805278,1
272,635,C0079747,1
273,7124,C0019207,1
274,80208,C0023520,1
275,8912,C4317339,1
276,3875,C1861556,1
277,113246,C1857512,1
278,5617,C0205651,1
279,2720,C0162351,1
280,6929,C1961102,1
281,6354,C0027707,1
282,442904,C0019193,1
283,2056,C0018818,1
284,115650,C0009447,1
285,50944,C0036341,1
286,258,C4225394,1
287,2245,C0018273,1
288,57309,C0037773,1
289,735,C0025294,1
290,3048,C0010828,1
291,1366,C0033578,1
292,79158,C0020305,1
293,2670,C0030567,1
294,538,C0751378,1
295,55967,C0751268,1
296,6513,C0427190,1
297,64220,C0003119,1
298,10019,C3463824,1
299,4948,C0268495,1
300,1437,C0205944,1
301,5921,C0038505,1
302,29126,C0242379,1
303,440823,C0027051,1
304,3954,C0149958,1
305,11280,C0751213,1
306,948,C1449563,1
307,958,C0751523,1
308,2056,C0019025,1
309,634,C0205643,1
310,324,C0032580,1
311,4864,C0220994,1
312,3442,C0025202,1
313,3952,C0009375,1
314,959,C0376628,1
315,1164,C1136382,1
316,4023,C0009375,1
317,3630,C2609414,1
318,3115,C4048328,1
319,1260,C0393778,1
320,1559,C2609414,1
321,8929,C0949272,1
322,6275,C0009375,1
323,4436,C0027831,1
324,2812,C0220704,1
325,7124,C0005138,1
326,2558,C0149958,1
327,968,C0022116,1
328,54927,C0013146,1
329,138050,C0086647,1
330,55738,C0085996,1
331,1514,C0334607,1
332,1612,C0877578,1
333,25793,C3714756,1
334,3363,C0036341,1
335,4718,C0751651,1
336,210,C0259785,1
337,8086,C0376358,1
338,2475,C0549473,1
339,857,C0006142,1
340,7099,C4302111,1
341,197,C1859878,1
342,8989,C3808667,1
343,4864,C0023890,1
344,112399,C0023903,1
345,6648,C0205642,1
346,4791,C2936665,1
347,9869,C0025202,1
348,113278,C0796274,1
349,831,C0432330,1
350,6648,C0205699,1
351,2597,C0027540,1
352,4854,C0678222,1
353,23493,C0280785,1
354,186,C0010093,1
355,115352,C0920350,1
356,2153,C0007102,1
357,2908,C1841972,1
358,11186,C0005684,1
359,400916,C4014648,1
360,10717,C0037773,1
361,7040,C0205697,1
362,100616127,C0019193,1
363,1191,C0041755,1
364,23307,C0013170,1
365,79727,C0007621,1
366,5777,C0018824,1
367,7535,C2931299,1
368,182,C1112213,1
369,5052,C0086404,1
370,10207,C0013222,1
371,2052,C0242488,1
372,3398,C0026998,1
373,3361,C1527249,1
374,56833,C0021390,1
375,2705,C0205646,1
376,5889,C0677776,1
377,6653,C3658290,1
378,239,C0005586,1
379,8575,C0393588,1
380,1629,C0024776,1
381,4741,C0011581,1
382,8850,C0525045,1
383,79991,C0242379,1
384,162417,C0268543,1
385,11167,C0022660,1
386,4803,C0273115,1
387,2562,C0270611,1
388,4288,C0919267,1
389,6422,C0006142,1
390,3925,C0007097,1
391,2175,C1257964,1
392,3418,C0751495,1
393,406900,C0004352,1
394,1007,C0001973,1
395,442910,C1458155,1
396,2919,C0035126,1
397,30834,C0024623,1
398,695,C0678222,1
399,4210,C3889979,1
400,25824,C1708349,1
401,6513,C0086543,1
402,4038,C3714756,1
403,55930,C0013146,1
404,11200,C0346153,1
405,10457,C1565662,1
406,26037,C0087031,1
407,84068,C4279912,1
408,8575,C0030567,1
409,63894,C1859722,1
410,3875,C0162557,1
411,7432,C0005686,1
412,1909,C3714756,1
413,1136,C0751123,1
414,6710,C1866810,1
415,551,C0751292,1
416,2175,C0010606,1
417,1843,C3714758,1
418,1639,C0752098,1
419,55764,C0010278,1
420,9757,C0393588,1
421,10468,C1458155,1
422,5913,C1854678,1
423,5173,C0751497,1
424,3006,C0023467,1
425,1437,C0149871,1
426,2495,C0751733,1
427,581,C0006413,1
428,7139,C0018805,1
429,4842,C0027746,1
430,7172,C0027947,1
431,7490,C0023467,1
432,1139,C0270854,1
433,8863,C0005586,1
434,3567,C0004096,1
435,8322,C0039075,1
436,9450,C0272945,1
437,613,C2678480,1
438,100302284,C4277682,1
439,442904,C0011860,1
440,23593,C0023903,1
441,4036,C0042870,1
442,6905,C4310667,1
443,9319,C0027658,1
444,1571,C0015696,1
445,6647,C0004096,1
446,5468,C0494463,1
447,695,C0023434,1
448,284276,C0005612,1
449,7040,C0026848,1
450,406979,C0027627,1
451,57030,C0022333,1
452,143379,C0013170,1
453,624,C0234254,1
454,10232,C0345967,1
455,2911,C0011570,1
456,916,C3810128,1
457,8291,C1850889,1
458,1158,C0022116,1
459,2263,C0008925,1
460,79876,C3658290,1
461,1815,C3160814,1
462,183,C0751212,1
463,5020,C0149958,1
464,30061,C0282193,1
465,1545,C0376358,1
466,64805,C0027051,1
467,7855,C1852767,1
468,90624,C0342778,1
469,23090,C0236804,1
470,4855,C3544321,1
471,2984,C0278883,1
472,6928,C1266043,1
473,1647,C0263454,1
474,23209,C1839839,1
475,22999,C1863634,1
476,23513,C3891448,1
477,7010,C0039445,1
478,285,C0018923,1
479,885,C0751088,1
480,26275,C0751651,1
481,10939,C0752124,1
482,5728,C0431121,1
483,5328,C0750969,1
484,6507,C0236018,1
485,6678,C0029434,1
486,1387,C1862941,1
487,2570,C0149504,1
488,768213,C0086404,1
489,6389,C0543888,1
490,5190,C0003886,1
491,29108,C0262584,1
492,283463,C0021390,1
493,148327,C0376358,1
494,9742,C0036069,1
495,6774,C0376358,1
496,92667,C0949856,1
497,590,C0032787,1
498,66037,C0009402,1
499,8671,C0010038,1
500,4137,C0752101,1
501,55811,C0342639,1
502,6347,C0156147,1
503,9509,C0013720,1
504,9,C0008625,1
505,10979,C0005695,1
506,2922,C0278996,1
507,4436,C0009404,1
508,4233,C0205645,1
509,7276,C0406537,1
510,7980,C0346647,1
511,1394,C0600427,1
512,4001,C0751914,1
513,1514,C0033687,1
514,54795,C0033578,1
515,254887,C4279912,1
516,2260,C0750935,1
517,1734,C1510586,1
518,5551,C0400966,1
519,147372,C3714756,1
520,9971,C0346627,1
521,2263,C0376634,1
522,1029,C1527390,1
523,3065,C0014175,1
524,7037,C0079757,1
525,4790,C4302111,1
526,3458,C0038325,1
527,4728,C1850599,1
528,78989,C0036305,1
529,9588,C0162351,1
530,5290,C2931822,1
531,324,C0205647,1
532,79867,C0152427,1
533,7066,C3489628,1
534,27063,C0007194,1
535,847,C0751074,1
536,25915,C0543888,1
537,5970,C0011860,1
538,2247,C0452047,1
539,51,C0282528,1
540,2561,C0001973,1
541,5071,C0024121,1
542,4318,C0205768,1
543,1235,C0042900,1
544,5885,C0007103,1
545,26278,C0004138,1
546,6387,C0022116,1
547,2597,C0007137,1
548,7035,C0242184,1
549,3123,C0036202,1
550,999,C1257925,1
551,4750,C0345958,1
552,54887,C0024141,1
553,6774,C0878544,1
554,51604,C0010828,1
555,6783,C0860207,1
556,2555,C0376280,1
557,3295,C0684276,1
558,5337,C0238281,1
559,6833,C0271713,1
560,23594,C0025958,1
561,56287,C0006142,1
562,406938,C0007095,1
563,53904,C1335167,1
564,6750,C0751495,1
565,6446,C0271686,1
566,115701,C0346167,1
567,1401,C0267380,1
568,65125,C0022658,1
569,442915,C3501844,1
570,712,C0268742,1
571,6608,C1368275,1
572,1138,C4048158,1
573,7867,C4310713,1
574,3107,C0013221,1
575,5801,C0041696,1
576,4593,C4225368,1
577,387,C0238198,1
578,2120,C3495559,1
579,6532,C0001969,1
580,831,C1849193,1
581,26012,C0342384,1
582,2548,C0007959,1
583,4524,C1458155,1
584,5743,C0030354,1
585,3394,C0003873,1
586,65217,C0013222,1
587,2944,C0009404,1
588,2099,C0338489,1
589,29922,C0037221,1
590,1132,C0234370,1
591,6303,C0033975,1
592,3383,C0043250,1
593,3359,C0236733,1
594,7704,C0033578,1
595,79944,C0023520,1
596,7324,C0751851,1
597,9177,C0011570,1
598,8807,C0021390,1
599,1808,C0276496,1
600,2693,C0751075,1
601,3868,C0265334,1
602,57468,C0038220,1
603,805,C0011570,1
604,3270,C0018800,1
605,3329,C0751847,1
606,4292,C3714756,1
607,3315,C0007102,1
608,4359,C0019816,1
609,351,C0751292,1
610,56623,C0431399,1
611,1837,C1858725,1
612,5887,C0021364,1
613,3558,C0458259,1
614,2200,C1321551,1
615,4088,C0086743,1
616,5699,C4505456,1
617,100128252,C1257931,1
618,10019,C0242380,1
619,2778,C1841739,1
620,5742,C0018801,1
621,4068,C0376545,1
622,7276,C0007193,1
623,92667,C0751401,1
624,861,C2713368,1
625,80273,C0019693,1
626,23203,C0004138,1
627,5965,C1458155,1
628,6425,C0006142,1
629,7276,C0024228,1
630,207,C3554519,1
631,2624,C3463824,1
632,573,C1134719,1
633,2316,C0026760,1
634,2290,C0020796,1
635,124401,C0037221,1
636,1813,C0022734,1
637,6532,C0751295,1
638,501,C1291560,1
639,6710,C0221409,1
640,8660,C0011860,1
641,5443,C0036572,1
642,2878,C0014175,1
643,324,C0205650,1
644,387700,C2677587,1
645,5924,C0024667,1
646,1149,C1961112,1
647,6364,C0887898,1
648,442911,C0027627,1
649,6414,C0205648,1
650,9757,C0393610,1
651,4852,C0751010,1
652,1565,C0234376,1
653,8642,C0340364,1
654,3066,C1527303,1
655,885,C0041657,1
656,5153,C0751262,1
657,3361,C0004352,1
658,1294,C0432321,1
659,2626,C3809858,1
660,983,C0023893,1
661,3596,C0241910,1
662,64220,C0018798,1
663,26227,C0266470,1
664,90529,C0006142,1
665,1050,C1879321,1
666,338,C1862596,1
667,1482,C2673630,1
668,1129,C0428977,1
669,686,C3658290,1
670,9179,C0020796,1
671,7128,C0024299,1
672,8942,C1269683,1
673,79039,C1136382,1
674,54463,C0086405,1
675,1834,C0026640,1
676,6314,C0277850,1
677,7124,C1692886,1
678,9479,C4017238,1
679,26160,C3714756,1
680,1462,C0036095,1
681,2912,C0393682,1
682,1136,C1861063,1
683,3418,C3805278,1
684,5141,C0036341,1
685,3689,C0020517,1
686,6354,C0751846,1
687,1142,C1861063,1
688,4842,C0751494,1
689,5820,C0162538,1
690,6790,C0009402,1
691,6188,C1257806,1
692,10908,C0152427,1
693,2068,C0154091,1
694,3627,C0021400,1
695,6662,C0029434,1
696,407055,C1262760,1
697,3091,C0205698,1
698,1080,C0392164,1
699,308,C0152013,1
700,9531,C0007959,1
701,843,C0024304,1
702,25914,C0007820,1
703,351,C0751262,1
704,1644,C0342686,1
705,30813,C0024439,1
706,3855,C0023892,1
707,5108,C0036341,1
708,23152,C1263846,1
709,240,C0376618,1
710,3479,C0014175,1
711,5066,C0270844,1
712,283989,C1857762,1
713,859,C0018798,1
714,574034,C3501844,1
715,1029,C0205747,1
716,8639,C0020538,1
717,3162,C0040053,1
718,5155,C0334464,1
719,928,C1621958,1
720,6774,C0265699,1
721,131118,C0751651,1
722,2072,C0376545,1
723,51098,C0036996,1
724,391051,C0022660,1
725,580,C0153567,1
726,463,C2585653,1
727,212,C0221018,1
728,4313,C0678222,1
729,2271,C1708350,1
730,1813,C0270844,1
731,604,C0334660,1
732,10243,C1854990,1
733,91754,C0003886,1
734,23166,C0005586,1
735,3727,C0023890,1
736,6875,C0036875,1
737,4552,C0751202,1
738,3845,C0751008,1
739,3552,C0018843,1
740,7852,C0027626,1
741,55742,C0013146,1
742,2767,C1840347,1
743,29925,C0699743,1
744,5329,C0007097,1
745,7592,C3714756,1
746,4734,C1274933,1
747,164395,C0023903,1
748,1815,C0085762,1
749,4842,C0751197,1
750,54894,C0376358,1
751,4338,C0543888,1
752,57165,C0023520,1
753,54903,C0265215,1
754,23395,C0020305,1
755,5726,C0455383,1
756,6647,C0038433,1
757,84197,C0457133,1
758,816,C0006868,1
759,190,C0432475,1
760,407004,C4279912,1
761,2558,C0004352,1
762,7528,C0025363,1
763,2167,C0205699,1
764,657,C3714239,1
765,8988,C3711384,1
766,6697,C0268468,1
767,3553,C0023186,1
768,9429,C0678222,1
769,328,C0018799,1
770,2944,C4279912,1
771,10576,C0001787,1
772,79750,C0013146,1
773,51660,C0038586,1
774,3280,C0334596,1
775,3949,C0519066,1
776,2571,C0013386,1
777,26580,C0023787,1
778,9948,C0029456,1
779,1588,C0029459,1
780,4808,C0028754,1
781,1152,C0948089,1
782,5187,C0023473,1
783,70,C1449563,1
784,7422,C0476089,1
785,7289,C3179349,1
786,5664,C0264886,1
787,7545,C3714756,1
788,4986,C0234535,1
789,2706,C2673760,1
790,8314,C1527197,1
791,10000,C4014738,1
792,6348,C0751524,1
793,4297,C0270972,1
794,3558,C0242596,1
795,10574,C1708349,1
796,8742,C0452047,1
797,348980,C0086237,1
798,383,C0023281,1
799,6665,C0032460,1
800,5074,C0525045,1
801,1356,C0025202,1
802,1387,C4511003,1
803,1612,C1266044,1
804,1812,C0233612,1
805,2937,C0205699,1
806,1420,C0392557,1
807,80031,C0740858,1
808,3423,C0010278,1
809,4017,C0019196,1
810,1588,C0751406,1
811,613,C0005699,1
812,348980,C0751056,1
813,4488,C1868599,1
814,1523,C1319315,1
815,128,C0001973,1
816,6493,C0008925,1
817,3156,C2239176,1
818,6622,C0752104,1
819,3558,C0750907,1
820,8678,C0024121,1
821,11186,C0205643,1
822,3553,C0000786,1
823,596,C0079747,1
824,472,C0007112,1
825,867,C0042384,1
826,6709,C0270715,1
827,22827,C0025500,1
828,9197,C0524524,1
829,1268,C0751522,1
830,11311,C0158995,1
831,2194,C0023827,1
832,4853,C0334579,1
833,1788,C0020981,1
834,726,C0242852,1
835,590,C0751324,1
836,10312,C1850127,1
837,5118,C1262760,1
838,4193,C0848676,1
839,1144,C0234544,1
840,9588,C0242379,1
841,8915,C0345967,1
842,255239,C0023015,1
843,7012,C1800706,1
844,7048,C0338489,1
845,4437,C0014170,1
846,3240,C0022660,1
847,5076,C0022661,1
848,5627,C0035222,1
849,1750,C0265554,1
850,51067,C0270960,1
851,22906,C3714756,1
852,3815,C0345967,1
853,112755,C0543888,1
854,8085,C0154045,1
855,3315,C0152013,1
856,1410,C0270715,1
857,7296,C0162351,1
858,22976,C0276496,1
859,6550,C0011853,1
860,7157,C1565662,1
861,3417,C0205788,1
862,6772,C0026918,1
863,6869,C0041671,1
864,5184,C0037299,1
865,866,C0023893,1
866,1728,C0027651,1
867,157570,C0392475,1
868,2670,C0393786,1
869,1281,C0015695,1
870,10682,C0263627,1
871,10618,C0525045,1
872,286053,C0006142,1
873,65267,C0149782,1
874,28998,C0024623,1
875,149111,C0014175,1
876,56978,C0751782,1
877,3162,C0023895,1
878,26191,C0024141,1
879,650,C0265534,1
880,5580,C0011853,1
881,23042,C0007134,1
882,84231,C0345967,1
883,5580,C4505436,1
884,3858,C0162351,1
885,4208,C0917816,1
886,3934,C0022660,1
887,29094,C0023893,1
888,3066,C0033975,1
889,26585,C1832587,1
890,4842,C0011854,1
891,6905,C0004623,1
892,7076,C0086132,1
893,3339,C0036391,1
894,3480,C0750901,1
895,3553,C0042109,1
896,3552,C0750907,1
897,9223,C0036341,1
898,7178,C0033578,1
899,7480,C0376358,1
900,134,C1527335,1
901,2886,C1306837,1
902,207,C0678222,1
903,1071,C4317171,1
904,5923,C1527310,1
905,351,C0751071,1
906,590,C0422855,1
907,2998,C0220994,1
908,55997,C0152419,1
909,90,C0334580,1
910,3643,C0751211,1
911,6506,C0086237,1
912,5743,C1258085,1
913,9464,C0235480,1
914,7249,C0279702,1
915,4363,C0013221,1
916,1974,C0027627,1
917,6647,C0242526,1
918,977,C1836823,1
919,3643,C1257965,1
920,406959,C0270611,1
921,201163,C0013720,1
922,3458,C1449647,1
923,4353,C0003130,1
924,6548,C0007194,1
925,6696,C0041755,1
926,7204,C0026998,1
927,5443,C3714636,1
928,11200,C0006826,1
929,5741,C0035579,1
930,5961,C1842475,1
931,7341,C0027626,1
932,5244,C3241937,1
933,1421,C3888390,1
934,4192,C0036341,1
935,1184,C1845168,1
936,1027,C0007113,1
937,8829,C0030297,1
938,5350,C0007959,1
939,7779,C0422852,1
940,4881,C1383860,1
941,5243,C0027819,1
942,90332,C4277690,1
943,3484,C0000786,1
944,760,C0205641,1
945,2176,C4025414,1
946,6546,C0751496,1
947,5443,C2711227,1
948,23431,C0037773,1
949,407975,C0011860,1
950,55808,C0033975,1
951,157657,C3281045,1
952,10014,C0001546,1
953,3827,C0030193,1
954,635,C0027794,1
955,5443,C0003130,1
956,60468,C0042900,1
957,6347,C0263628,1
958,3972,C0428977,1
959,28998,C0006142,1
960,7124,C0027659,1
961,10370,C0270948,1
962,4843,C0038587,1
963,6657,C0162809,1
964,79823,C0008073,1
965,3746,C0751781,1
966,5743,C0422850,1
967,7015,C1800706,1
968,8289,C0376358,1
969,999,C0010606,1
970,3854,C0007137,1
971,6638,C0004352,1
972,3912,C1955869,1
973,3488,C0678222,1
974,366,C0023487,1
975,5530,C1527352,1
976,406886,C0086404,1
977,5741,C1959583,1
978,2668,C0027854,1
979,6598,C3553248,1
980,85417,C0029463,1
981,2218,C0003886,1
982,146057,C0752121,1
983,9439,C3714756,1
984,406928,C0009171,1
985,1288,C3806737,1
986,3418,C0280793,1
987,134701,C1837549,1
988,3082,C0271686,1
989,468,C0011570,1
990,29979,C0027626,1
991,200403,C0087012,1
992,55930,C0740858,1
993,57505,C0543888,1
994,5894,C0345904,1
995,834,C0026769,1
996,1476,C1527197,1
997,1493,C0024141,1
998,59,C0013720,1
999,4842,C0086133,1
1000,64419,C3714756,1
1001,5781,C1879321,1
1002,654,C0003873,1
1003,1736,C0158995,1
1004,9319,C0740345,1
1005,55764,C4277690,1
1006,25802,C1956346,1
1007,2290,C0270844,1
1008,3708,C4279912,1
1009,113,C3714758,1
1010,3040,C1260396,1
1011,23305,C0158995,1
1012,2915,C0751523,1
1013,7468,C0006142,1
1014,4157,C0268495,1
1015,84871,C1510472,1
1016,5243,C0030569,1
1017,1052,C0023467,1
1018,3570,C1266043,1
1019,7520,C0152013,1
1020,7173,C0018021,1
1021,64221,C0013720,1
1022,3552,C0262497,1
1023,2335,C0027626,1
1024,1719,C4279912,1
1025,100506658,C0006826,1
1026,51311,C3714756,1
1027,6351,C4302111,1
1028,2052,C1961102,1
1029,5160,C0001125,1
1030,64919,C4310656,1
1031,8492,C1855304,1
1032,8777,C0422854,1
1033,4316,C0024623,1
1034,2810,C0022548,1
1035,4881,C0016059,1
1036,1788,C0010828,1
1037,3479,C0005684,1
1038,53826,C1879321,1
1039,1956,C0030297,1
1040,1139,C0751295,1
1041,7534,C0007097,1
1042,5728,C0085261,1
1043,54822,C0205650,1
1044,3918,C0079297,1
1045,708,C0751651,1
1046,84100,C0752166,1
1047,1482,C0264886,1
1048,4846,C0000832,1
1049,29119,C3810138,1
1050,329,C0678222,1
1051,4988,C0013384,1
1052,5743,C0085742,1
1053,1071,C0007222,1
1054,4502,C1383860,1
1055,2176,C0005695,1
1056,5156,C0035238,1
1057,8639,C0038433,1
1058,2892,C0036341,1
1059,6581,C0010246,1
1060,166336,C0543888,1
1061,6834,C0751267,1
1062,55800,C1142166,1
1063,64221,C0751651,1
1064,115948,C4015016,1
1065,1786,C0007959,1
1066,4247,C0000786,1
1067,4846,C0011581,1
1068,5743,C0272945,1
1069,22941,C0025363,1
1070,4292,C0024299,1
1071,6550,C0020649,1
1072,3576,C0007621,1
1073,2512,C0033975,1
1074,7099,C0948089,1
1075,916,C0003257,1
1076,412,C1321905,1
1077,51322,C0033578,1
1078,1650,C0282577,1
1079,51567,C0752120,1
1080,9894,C4310778,1
1081,114814,C0158995,1
1082,64087,C1859499,1
1083,50937,C3179349,1
1084,2064,C0206698,1
1085,6329,C3489447,1
1086,6657,C0376358,1
1087,6364,C3837958,1
1088,4502,C0349218,1
1089,4000,C0271694,1
1090,7133,C3241937,1
1091,3667,C1257964,1
1092,1191,C0751110,1
1093,5781,C0205641,1
1094,9547,C0162351,1
1095,1277,C0149721,1
1096,2628,C0023212,1
1097,8342,C1527249,1
1098,3480,C0031117,1
1099,5311,C0751733,1
1100,10290,C1834558,1
1101,5578,C1319315,1
1102,3659,C0085742,1
1103,1813,C0013222,1
1104,725,C0036341,1
1105,5034,C0020255,1
1106,2778,C3697137,1
1107,1499,C3658302,1
1108,1588,C0032796,1
1109,1915,C0024623,1
1110,635,C0024304,1
1111,10653,C0008297,1
1112,3060,C0234254,1
1113,847,C0333233,1
1114,3383,C0036982,1
1115,2628,C0022658,1
1116,5796,C0376358,1
1117,1482,C0013069,1
1118,5972,C0001787,1
1119,84870,C1458155,1
1120,51164,C1527396,1
1121,2878,C0270715,1
1122,3423,C0026705,1
1123,799,C0020437,1
1124,407029,C0034069,1
1125,3899,C0740858,1
1126,7421,C1257931,1
1127,407975,C0018273,1
1128,6529,C0022333,1
1129,3501,C0162539,1
1130,113,C0036341,1
1131,3008,C3714756,1
1132,847,C0034063,1
1133,7035,C0008301,1
1134,847,C0234535,1
1135,2099,C0376358,1
1136,6563,C0543663,1
1137,4163,C0034885,1
1138,4091,C4479496,1
1139,50943,C0006142,1
1140,7200,C0751494,1
1141,1440,C0877578,1
1142,7252,C4082174,1
1143,4548,C1956130,1
1144,2052,C0024667,1
1145,23246,C0024623,1
1146,919,C2931171,1
1147,3383,C0019284,1
1148,4537,C2936907,1
1149,440435,C3711543,1
1150,8714,C0009404,1
1151,9463,C0236733,1
1152,6597,C0029925,1
1153,6374,C3714636,1
1154,1128,C0236018,1
1155,4052,C0023893,1
1156,1284,C0023893,1
1157,54431,C0376358,1
1158,23338,C0033578,1
1159,472,C0079773,1
